UDI,Product ID,Type,air_temp,process_temp,rotation_speed,torque,tool_wear,failure,TWF,HDF,PWF,OSF,RNF,machine_id,timestamp,air_temp_lag_1,process_temp_lag_1,rotation_speed_lag_1,torque_lag_1,tool_wear_lag_1,air_temp_lag_2,process_temp_lag_2,rotation_speed_lag_2,torque_lag_2,tool_wear_lag_2,air_temp_roll_mean_3,rotation_speed_roll_std_3
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,M01,2025-01-01 02:00:00,298.2,308.7,1408.0,46.3,3.0,298.1,308.6,1551.0,42.8,0.0,298.1333333333334,72.29338374521788
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,M01,2025-01-01 03:00:00,298.1,308.5,1498.0,49.4,5.0,298.2,308.7,1408.0,46.3,3.0,298.1666666666667,46.457866215887876
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,M01,2025-01-01 04:00:00,298.2,308.6,1433.0,39.5,7.0,298.1,308.5,1498.0,49.4,5.0,298.1666666666667,46.457866215887876
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,M01,2025-01-01 05:00:00,298.2,308.7,1408.0,40.0,9.0,298.2,308.6,1433.0,39.5,7.0,298.1666666666667,12.767145334803704
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,M01,2025-01-01 06:00:00,298.1,308.6,1425.0,41.9,11.0,298.2,308.7,1408.0,40.0,9.0,298.1333333333334,82.1360659718575
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,M01,2025-01-01 07:00:00,298.1,308.6,1558.0,42.4,14.0,298.1,308.6,1425.0,41.9,11.0,298.1,69.58687615731378
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,M01,2025-01-01 08:00:00,298.1,308.6,1527.0,40.2,16.0,298.1,308.6,1558.0,42.4,14.0,298.1666666666667,73.53230582539894
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,M01,2025-01-01 09:00:00,298.3,308.7,1667.0,28.6,18.0,298.1,308.6,1527.0,40.2,16.0,298.3,108.68302535354817
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,M01,2025-01-01 10:00:00,298.5,309.0,1741.0,28.0,21.0,298.3,308.7,1667.0,28.6,18.0,298.4,58.28378848359118
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,M01,2025-01-01 11:00:00,298.4,308.9,1782.0,23.9,24.0,298.5,309.0,1741.0,28.0,21.0,298.5,196.50530103112573
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,M01,2025-01-01 12:00:00,298.6,309.1,1423.0,44.3,29.0,298.4,308.9,1782.0,23.9,24.0,298.53333333333336,235.29626714704455
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,M01,2025-01-01 13:00:00,298.6,309.1,1339.0,51.1,34.0,298.6,309.1,1423.0,44.3,29.0,298.6,212.6131071531889
